Lemma,POS,Freq
@card@,CARD,84706557
neu,ADJA,18181617
groß,ADJA,14171946
Zeit,NN,11707865
einfach,ADJD,10369726
Mensch,NN,10308206
Tag,NN,9658088
klein,ADJA,8872547
Frau,NN,6534440
Deutschland,NE,6271934
alt,ADJA,6169581
Uhr,NN,5768548
@card@,ADJA,5675200
schnell,ADJD,5116337
richtig,ADJD,4442349
Mann,NN,4288435
schön,ADJA,4031390
Information,NN,4001491
Buch,NN,3987861
wichtig,ADJA,3578040
lang,ADJA,3554426
Geld,NN,3467988
schön,ADJD,3261272
Film,NN,3221353
rund,ADV,3205070
Berlin,NE,3204482
lang,ADJD,3029608
kurz,ADJD,3010678
neu,ADJD,2875692
Familie,NN,2831761
wichtig,ADJD,2825687
Form,NN,2751064
kurz,ADJA,2735058
Internet,NN,2685911
Idee,NN,2642908
Datum,NN,2578259
richtig,ADJA,2408214
groß,ADJD,2394040
Spaß,NN,2307196
Straße,NN,2203484
echt,ADJD,2197489
Musik,NN,2167241
Tier,NN,2137335
Raum,NN,2136914
Stunde|Stunden,NN,2063745
persönlich,ADJA,1889666
A,NN,1871890
Link,NN,1854012
sozial,ADJA,1853506
Medium,NN,1764555
USA,NE,1734528
frei,ADJA,1721050
öffentlich,ADJA,1707271
Gefühl,NN,1696601
Autor,NN,1640727
Farbe,NN,1610353
dritt,ADJA,1607702
Hotel,NN,1602583
langsam,ADJD,1599383
Nacht,NN,1595580
München,NE,1560555
normal,ADJA,1559665
Arzt,NN,1530549
alt,ADJD,1516072
einfach,ADJA,1482796
super,ADJD,1478354
Sicherheit,NN,1475732
frei,ADJD,1467519
Tod,NN,1441157
November,NN,1422437
Video,NN,1369101
laut,APPR,1368522
Boden,NN,1344865
Hamburg,NE,1339552
Recht|Rechte,NN,1338962
privat,ADJA,1336006
schnell,ADJA,1303920
Dezember,NN,1280285
Sonntag,NN,1250748
persönlich,ADJD,1242833
Samstag,NN,1225040
falsch,ADJD,1215806
Wissen,NN,1212582
Kunst,NN,1193818
Pferd,NN,1185958
rot,ADJA,1184644
echt,ADJA,1172476
Schweiz,NE,1120794
schwarz,ADJA,1119331
Google,NE,1115807
Blog,NN,1100818
Bewegung,NN,1098724
Regierung,NN,1094996
Sommer,NN,1090041
Vertrag,NN,1074764
Service,NN,1056526
klein,ADJD,1029526
Wirtschaft,NN,1027947
Köln,NE,1022068
Essen,NN,1015646
weiß,ADJA,1008661
Freitag,NN,1007080
Nachricht,NN,1006689
Polizei,NN,989364
Serie,NN,988396
fertig,ADJD,984826
Frankfurt,NE,981077
falsch,ADJA,944493
@card@,ADV,913756
grün,ADJA,908475
Wetter,NN,906173
Bad,NE,904873
Webseite,NN,887814
Computer,NN,854412
Freiheit,NN,836147
Katze,NN,829326
normal,ADJD,827873
