f_raw,rank_abs,f_permil,f_logpermil+3.56594158831,f_logpermil+10,band,token...
52046497,10,14140.0165002,7.71639150455,14.1504499162,3,ser
12342675,29,3353.26368183,7.09140929356,13.5254677053,5,estar
6631185,40,1801.56342349,6.82159114424,13.2556495559,6,año
6104930,42,1658.59022044,6.78568068863,13.2197391003,6,1
2950280,85,801.533441918,6.46986323519,12.9039216469,7,tiempo
2925142,86,794.703938392,6.4661469536,12.9002053653,7,servicio
2300515,113,625.004984657,6.36182506933,12.795883481,8,3
2294881,114,623.474336918,6.36076017032,12.794818582,8,social
2222005,119,603.67535136,6.34674503186,12.7808034436,8,mundo
2113657,124,574.239316351,6.32503451226,12.7590929239,8,lugar
2112665,125,573.96980933,6.32483063752,12.7588890492,8,último
2036692,131,553.329429372,6.30892535752,12.7429837692,8,proyecto
1922567,139,522.323896318,6.28388148357,12.7179398953,8,información
1750165,157,475.485640812,6.24307899452,12.6771374062,8,gobierno
1636701,170,444.659688545,6.21396934776,12.6480277595,8,casa
1613548,171,438.369470742,6.20778188937,12.6418403011,8,niño
1603469,173,435.631203336,6.20506056809,12.6391189798,8,mujer
1593031,174,432.795402644,6.20222422715,12.6362826388,8,universidad
1471668,192,399.823446385,6.16780984667,12.6018682584,8,político
1459726,194,396.579038274,6.16427134355,12.5983297552,8,4
1445532,198,392.722805755,6.16002771017,12.5940861219,8,grande
1413373,204,383.985833685,6.15025679063,12.5843152023,9,hombre
1394639,206,378.896171856,6.14446180575,12.5785202174,9,tomar
1381699,209,375.380626641,6.14041344327,12.574471855,9,agua
1309725,224,355.826696861,6.1171801174,12.5512385291,9,dato
1236137,243,335.834274812,6.0920666059,12.5261250176,9,pequeño
1190588,257,323.459501317,6.07576150096,12.5098199127,9,gente
1180537,262,320.728840965,6.07207960314,12.5061380148,9,libro
1102630,287,299.563030988,6.04242980445,12.4764882161,9,red
1092383,295,296.779121264,6.0383749329,12.4724333446,9,familia
1061066,299,288.270904146,6.02574239855,12.4598008102,9,seguridad
1060917,300,288.230423756,6.02568140855,12.4597398202,9,largo
1037362,309,281.830990406,6.01593033514,12.4499887468,9,experiencia
993846,322,270.008543297,5.99731909412,12.4313775058,9,palabra
931151,344,252.975536551,5.96902011401,12.4030785257,9,pueblo
929920,346,252.641097899,5.96844558828,12.402504,9,especial
916266,353,248.931572831,5.96202157144,12.3960799831,9,local
897498,366,243.832673866,5.95303348946,12.3870919012,9,página
888564,371,241.405480593,5.9486887139,12.3827471256,9,20
827837,396,224.907141003,5.9179448332,12.3520032449,9,jugar
825596,398,224.298305081,5.91676758014,12.3508259918,9,realidad
824097,401,223.891056064,5.91597833316,12.3500367449,9,cuerpo
802179,413,217.936363635,5.90427128853,12.3383297002,9,tecnología
794096,421,215.740370437,5.89987300841,12.3339314201,9,tierra
792657,422,215.349422248,5.89908529926,12.333143711,9,serie
782017,429,212.458742102,5.89321619414,12.3272746058,9,internet
746326,445,202.76219463,5.87292857154,12.3069869832,9,30
745132,447,202.437808155,5.87223321475,12.3062916264,9,clase
731633,451,198.77039356,5.86429328592,12.2983516976,9,color
713947,466,193.965452858,5.85366597303,12.2877243847,9,señor
697013,481,189.364815866,5.84324087821,12.2772992899,10,riesgo
673506,507,182.978423178,5.82834146903,12.2623998807,10,texto
661742,520,179.782374189,5.82068869969,12.2547471114,10,contenido
656068,527,178.240859231,5.81694885537,12.2510072671,10,mañana
646824,531,175.729445014,5.81078612576,12.2448445375,10,blanco
623763,552,169.464221813,5.79501960997,12.2290780217,10,título
613412,564,166.652057321,5.78775226771,12.2218106794,10,dinero
600341,577,163.100921965,5.7783980043,12.212456416,10,plaza
597704,581,162.384500579,5.77648616226,12.210544574,10,muerte
