tag ,frequency
NN,"2,679,902,679"
ART,"1,197,747,678"
APPR,"962,714,061"
ADV,"920,699,512"
ADJA,"688,681,150"
VVFIN,"606,457,323"
PPER,"486,325,709"
VAFIN,"467,841,640"
KON,"449,562,603"
NE,"447,436,371"
ADJD,"437,845,642"
VVPP,"254,792,151"
CARD,"246,063,511"
VVINF,"235,659,188"
APPRART,"201,384,014"
KOUS,"163,008,011"
VMFIN,"154,866,299"
PIAT,"134,010,777"
PPOSAT,"133,725,858"
PIS,"130,485,716"
PRF,"105,514,093"
PTKNEG,"105,461,650"
PRELS,"88,940,990"
PTKVZ,"84,146,341"
PAV,"76,140,265"
PDS,"74,035,824"
KOKOM,"72,427,114"
PTKZU,"70,205,288"
PDAT,"61,004,380"
VAINF,"46,110,514"
XY,"32,368,902"
PWS,"22,949,522"
PWAV,"21,445,404"
VVIMP,"21,368,667"
VVIZU,"18,677,641"
ITJ,"17,420,698"
KOUI,"12,401,717"
FM,"10,186,744"
VMINF,"8,526,433"
VAPP,"8,293,234"
PTKA,"7,449,102"
PTKANT,"4,930,878"
APZR,"2,598,103"
PRELAT,"2,206,068"
PWAT,"2,041,093"
APPO,"1,571,087"
TRUNC,"1,016,370"
PPOSS,"124,977"
VMPP,"53,891"
VAIMP,"22,049"
ADJ,"5,912"
